family,action,mcp_tool,design_cases,source,fr,en,ar,de,es,hi,id,it,ja,ko,pt,ru,tr,vi,zh
canvas,layer.group,layer_group,15,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.ungroup,layer_ungroup,11,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.mergeDown,layer_mergeDown,11,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,canvas.resize,canvas_resize,15,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,canvas.setPixelArt,canvas_setPixelArt,17,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,canvas.drawPixels,canvas_drawPixels,38,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,canvas.crop,canvas_crop,22,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.lock,layer_lock,20,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.editShapeLayer,layer_editShapeLayer,27,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.setAdjustmentAmount,layer_setAdjustmentAmount,31,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,canvas.flipOrRotate,canvas_flipOrRotate,15,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.setMaskOptions,layer_setMaskOptions,20,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,guide.add,guide_add,16,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,guide.move,guide_move,14,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,guide.remove,guide_remove,11,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,img.pin,img_pin,30,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,sequence.state,sequence_state,8,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,sequence.seek,sequence_seek,10,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.add,clip_add,17,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.remove,clip_remove,11,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.move,clip_move,16,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.trim,clip_trim,18,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.split,clip_split,13,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.fade,clip_fade,18,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.gain,clip_gain,16,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.speed,clip_speed,16,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.unlink,clip_unlink,11,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,clip.select,clip_select,11,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,track.add,track_add,13,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,track.remove,track_remove,11,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,track.reorderTracks,track_reorderTracks,13,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,track.rename,track_rename,14,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
montage,track.setMuteSoloLockHeight,track_setMuteSoloLockHeight,22,scenarios/montage.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,skybox.state,skybox_state,8,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,skybox.setViewportOptions,skybox_setViewportOptions,23,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,skybox.adjustImage,skybox_adjustImage,37,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,skybox.resetAdjustments,skybox_resetAdjustments,8,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,skybox.setSun,skybox_setSun,20,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,skybox.setPreviewLighting,skybox_setPreviewLighting,15,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,skybox.setSourceImage,skybox_setSourceImage,12,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,material.state,material_state,8,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,material.setSurfaceSettings,material_setSurfaceSettings,78,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,material.setPreviewDisplay,material_setPreviewDisplay,34,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,material.setPreviewEnvironment,material_setPreviewEnvironment,20,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,material.setChannelImage,material_setChannelImage,22,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,styles.list,styles_list,8,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,style.save,style_save,11,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,style.rename,style_rename,14,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
material,style.remove,style_remove,12,scenarios/material.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,scene.state,scene_state,8,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.add,node_add,50,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.addModel,node_addModel,14,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.markAsCuttingTool,node_markAsCuttingTool,15,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.combineIntoSolid,node_combineIntoSolid,21,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.swapSolidMatterAndTool,node_swapSolidMatterAndTool,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.separate,node_separate,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.remove,node_remove,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.attach,node_attach,15,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.rename,node_rename,15,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.transform,node_transform,42,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setVisible,node_setVisible,15,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setMeshMaterial,node_setMeshMaterial,39,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setPrimitiveParameters,node_setPrimitiveParameters,64,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setShadowCastAndReceive,node_setShadowCastAndReceive,18,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setSpriteSettings,node_setSpriteSettings,22,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setTextSettings,node_setTextSettings,33,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setPathShape,node_setPathShape,20,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,path.addPoint,path_addPoint,23,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,path.movePoint,path_movePoint,23,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,path.removePoint,path_removePoint,14,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,optimization.analyze,optimization_analyze,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,optimization.report,optimization_report,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,optimization.selection,optimization_selection,8,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,optimization.world,optimization_world,8,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,optimization.clearCache,optimization_clearCache,8,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,optimization.exclude,optimization_exclude,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,optimization.setMode,optimization_setMode,20,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,model.setMaterialDocument,model_setMaterialDocument,17,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,model.setBaseColorImage,model_setBaseColorImage,15,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setLightSettings,node_setLightSettings,53,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.setCameraLens,node_setCameraLens,25,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,camera.addShot,camera_addShot,20,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,camera.bindPathToShot,camera_bindPathToShot,28,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,camera.createAndBindPath,camera_createAndBindPath,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,camera.reorder,camera_reorder,14,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,camera.aimShotAt,camera_aimShotAt,24,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.reparent,node_reparent,17,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,node.select,node_select,12,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,view.direction,view_direction,17,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,view.setDisplayMode,view_setDisplayMode,21,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,scene.capture,scene_capture,15,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,world.applyPreset,world_applyPreset,16,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,world.setSceneLighting,world_setSceneLighting,28,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,world.setBackground,world_setBackground,21,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,world.setFog,world_setFog,27,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,world.setGroundPlane,world_setGroundPlane,26,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,world.setLayers,world_setLayers,11,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
scene,world.setToneMapping,world_setToneMapping,21,scenarios/scene.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.state,post_state,11,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.add,post_add,44,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.remove,post_remove,14,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.move,post_move,16,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.set,post_set,26,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.setEffectEnabled,post_setEffectEnabled,17,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.setWholeStackEnabled,post_setWholeStackEnabled,14,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
