famille,action,outil_mcp,titre,description,engagement,repetable,rangs_batterie
job,job.cancelCloudGeneration,job_cancelCloudGeneration,Annuler une tâche,Arrête une génération encore en file ou en cours. Ce qui a déjà été dépensé n’est pas rendu.,none,True,44.3
job,task.cancelLocalTask,task_cancelLocalTask,Annuler un travail local,"Arrête un travail que le studio mène sur cette machine — un rendu, une importation, une indexation — et le fichier à moitié écrit avec lui. Répond si l’un tournait encore, ce qu’un identifiant déjà terminé n’est pas.",none,True,44.4
job,usage.report,usage_report,Lire le rapport de consommation,"Répond ce que le compte a dépensé sur une fenêtre de sept, trente-et-un ou cent vingt jours, telle que la fenêtre d’usage la montre. C’est ce qui répond à « combien me reste-t-il de crédits ».",none,True,43.7
asset,assets.searchProjectCatalogue,assets_searchProjectCatalogue,Chercher dans le catalogue du projet,"Cherche par texte, par nature et par tags dans le catalogue de CE projet, sur cette machine, et peut se restreindre à ce qui a été généré. Le catalogue porte des assets, pas les fichiers du projet : un fichier que la personne nomme se trouve en cherchant dans les fichiers du projet. La bibliothèque distante du compte est encore ailleurs. Ce que le catalogue porte SUR un asset — d’où il vient, comment il est étiqueté — est asset.get, sur les ids que ceci rend.",none,True,"3.2,3.3,3.5,3.6,20.5"
asset,assets.counts,assets_counts,Compter le catalogue du projet,"Rend le nombre d’images, de vidéos, d’assets audio, de modèles 3D, de skyboxes et d’animations que ce projet porte sur cette machine, compté dans le catalogue plutôt qu’en les listant. Chaque nature est rendue, même lorsque son compte vaut zéro.",none,True,1.3
asset,asset.get,asset_get,Lire des assets,"Rend tout ce que le catalogue sait des assets nommés — où ils sont, d’où ils viennent, comment ils sont étiquetés. C’est ce qu’il faut appeler sur les identifiants qu’une génération finie a rendus.",none,True,43.1
asset,asset.update,asset_update,Corriger un asset,"Change le nom d’un asset, ses tags, ou la nature que le studio a lue dans son extension. Les tags sont remplacés en entier, donc une liste vide les efface vraiment.",none,True,20.2
asset,assets.removeFromLibrary,assets_removeFromLibrary,Retirer des assets,"Sort des assets de la bibliothèque du projet, et de la bibliothèque distante quand on le demande. Ce qui a été retiré figure dans l’activité récente.",files,True,43.2
asset,assets.captionImages,assets_captionImages,Légender des images,"Fait lire les images nommées par l’API et écrit ce qu’elle y voit comme nom de l’asset. Seules les images que la bibliothèque connaît peuvent l’être, donc une sélection purement locale répond zéro.",none,True,43.4
asset,asset.extractTextures,asset_extractTextures,Extraire les images d’un modèle,Sort les images qu’un fichier 3D transporte et les fait entrer dans la bibliothèque du projet comme des assets à part entière. Rend les lignes qui viennent d’être créées.,none,True,"2.5,3.4"
asset,asset.reveal,asset_reveal,Montrer un asset dans le gestionnaire de fichiers,"Ouvre le Finder ou l’explorateur du système sur le fichier d’un asset. Un asset qui ne vit que dans la bibliothèque distante n’a rien à montrer, et le dit.",none,False,43.5
asset,assets.listMissing,assets_listMissing,Repérer les assets dont le fichier a disparu,"Parmi les assets nommés, rend ceux dont le catalogue attend un fichier qui n’est plus là. Un asset qui n’a jamais eu de fichier local n’en est jamais, puisque rien n’était attendu de lui.",none,True,43.3
cloud,cloud.browseAccountLibrary,cloud_browseAccountLibrary,Parcourir la bibliothèque distante,"Rend une page de la bibliothèque du compte, filtrée par texte, tags ou nature. La pagination se fait par curseur, et il n’y a pas de total — l’API n’en donne aucun.",none,True,"54.1,54.2"
cloud,cloud.explorePublicFeed,cloud_explorePublicFeed,Parcourir ce que tout le monde a publié,"Rend une page du flux public d’une nature donnée, du plus récent au plus ancien. Ces assets ne sont pas les vôtres, et les regarder n’en rapatrie aucun. cloud.pull est ce qui en fait descendre une dans le projet, octets compris.",none,True,54.2
cloud,cloud.findSimilarPublished,cloud_findSimilarPublished,Chercher ce qui ressemble à un asset,"Rend les assets publiés qui ressemblent à celui nommé, celui-ci étant retiré de ses propres résultats. La référence est au choix de l’appelant.",none,True,54.3
cloud,cloud.previewSync,cloud_previewSync,Prévoir ce qu’une synchronisation ferait,"Dit ce qu’un envoi ou un rapatriement ferait de chaque asset nommé, avant que cela ne coûte la moindre requête. Rien n’est envoyé ni rapatrié.",none,True,54.4
cloud,cloud.pull,cloud_pull,Rapatrier des assets distants,"Fait entrer des assets dans le projet, octets compris, et dit ce que chacun a donné. Un téléchargement interrompu garde ce qu’il avait déjà écrit.",none,True,54.5
cloud,cloud.push,cloud_push,Envoyer des assets vers le compte,"Envoie des assets locaux vers la bibliothèque du compte, où ils restent. C’est le seul geste de cette famille qui laisse quelque chose derrière lui.",asset,True,54.6
canvas,canvas.state,canvas_state,Lire l’image en cours d’édition,"Répond l’image en avant — sa taille, sa résolution, ses repères, et chaque calque de la pile à plat : identifiant, nom, sorte, et ce que chacun porte. Un champ À SON DÉFAUT est omis, et son absence signifie ce défaut : un calque est visible, opaque, déverrouillé, en fondu normal, non rogné et non transformé.",none,True,"39.1,68.2"
canvas,canvas.setDocumentProperties,canvas_setDocumentProperties,Régler les propriétés du document image,"Change la résolution d’impression, le mode colorimétrique ou la profondeur de bits de l’image devant. Lire d’abord canvas.state ; les valeurs non nommées restent inchangées.",none,True,39.7
canvas,layer.add,layer_add,Ajouter un calque,"Pose un calque de pixels, de texte ou de réglage au sommet de la pile de l’image devant, et répond avec l’identifiant qui lui a été donné. Un calque de réglage doit nommer le réglage qu’il porte.",none,True,"19.1,28.4"
canvas,layer.remove,layer_remove,Retirer un calque,Sort un calque de la pile de l’image devant. S’annule comme n’importe quelle autre édition de ce document.,none,True,19.7
canvas,layer.select,layer_select,Armer un calque,"Fait d’un calque celui qui est armé, c’est-à-dire celui sur lequel agissent les outils de l’espace Image. C’est une façon de regarder la pile plutôt qu’une édition, donc rien ne s’ajoute à l’historique.",none,False,39.3
canvas,layer.rename,layer_rename,Renommer un calque,"Appelle autrement un calque de l’image devant. L’identifiant ne change pas, donc rien de ce qui le désignait n’est perdu.",none,True,19.2
canvas,layer.setOpacityBlendAndVisibility,layer_setOpacityBlendAndVisibility,Régler la composition d’un calque,"Change l’opacité d’un calque, son opacité de fond, son mode de fusion, sa visibilité ou son écrêtage. Chaque champ est facultatif, et ce qui n’est pas donné reste exactement tel quel. C’EST ELLE qui cache un calque et le remontre — « masque ce calque » met la visibilité à faux, et n’a rien à voir avec un masque.",none,True,"18.3,19.3,19.5,19.6,28.4"
canvas,layer.transform,layer_transform,"Déplacer, redimensionner ou tourner un calque","Déplace, redimensionne ou fait tourner un calque dans le cadre. La rotation se donne en degrés, et tout champ omis garde la valeur que le calque avait déjà.",none,True,"18.4,18.5,18.6,18.7"
canvas,layer.editTextLayer,layer_editTextLayer,Régler les mots d’un calque de texte,"Change ce que dit un calque de texte, la police et la taille dans lesquelles il le dit, sa couleur, son alignement et son cadre. Refuse un calque qui porte des pixels plutôt que des mots, que la commande laisserait sinon intact.",none,True,39.6
canvas,layer.reorderInStack,layer_reorderInStack,Réordonner un calque,"Déplace un calque ailleurs dans la pile, et dans un groupe ou hors d’un groupe. L’indice zéro est le bas de la pile, c’est-à-dire ce que l’œil voit en dernier.",none,True,19.4
canvas,layer.duplicate,layer_duplicate,Dupliquer un calque,"Copie un calque juste au-dessus de lui-même, enfants compris, chaque copie recevant un identifiant neuf. Répond avec l’identifiant de la copie. Le FICHIER de l’image se copie par files.duplicate ; ceci copie un calque à l’intérieur.",none,True,39.4
canvas,layer.group,layer_group,Grouper des calques,"Rassemble des calques de premier niveau en un groupe, qui se déplace ensuite d’un bloc. Répond avec l’identifiant du groupe.",none,True,51.1
canvas,layer.ungroup,layer_ungroup,Dissoudre un groupe,Défait un groupe en laissant ses enfants là où le groupe se tenait dans la pile.,none,True,51.2
canvas,layer.mergeDown,layer_mergeDown,Fusionner un calque vers le bas,"Replie un calque dans celui qui est sous lui, à l’intérieur de son propre niveau de pile. Le résultat garde l’identité du calque du dessous.",none,True,51.3
canvas,canvas.resize,canvas_resize,Redimensionner l’image,"Change le cadre de l’image devant. Redimensionne les calques avec lui quand on le demande, et les laisse en place sinon, ce qui est toute la différence entre taille de l’image et taille du canevas.",none,True,39.2
canvas,canvas.setPixelArt,canvas_setPixelArt,Régler le mode pixel art,"Met l’image devant sur une grille de pixel art, ou l’en retire. Avec un nombre de colonnes et de lignes, redimensionne le document pour que l’œuvre mesure exactement cela en cellules. 🛑 Un redimensionnement efface l’historique des pixels — les traits déjà posés restent, mais ⌘Z ne les défait plus. Redimensionner et poser la grille sont DEUX annulations : un premier ⌘Z retire la grille et laisse la taille.",none,True,"68.1,68.9"
canvas,canvas.drawPixels,canvas_drawPixels,Dessiner des pixels,"Pose des cellules sur l’image devant, en une seule fois et une seule annulation — des cellules nommées une à une, une ligne, un rectangle plein ou creux, ou un remplissage. Les coordonnées sont en cellules de la grille, pas en pixels du document.",none,True,"68.3,68.4,68.5,68.6,68.7"
canvas,canvas.crop,canvas_crop,Recadrer l’image,"Referme le cadre sur un rectangle donné en coordonnées du document. Les calques gardent leur place, donc ce qui tombe dehors est ce qui est coupé.",none,True,51.7
canvas,layer.lock,layer_lock,Verrouiller un calque,"Pose ou retire les trois verrous d’un calque, celui de ses pixels, celui de sa place et celui de sa transparence. Ils arrêtent la main sur le canevas. Une valeur écrite par une autre action passe outre, comme elle le fait depuis les panneaux.",none,True,39.5
canvas,layer.editShapeLayer,layer_editShapeLayer,Repeindre une forme,"Change le remplissage, le contour, l’épaisseur du trait et le nombre de côtés d’une forme déjà dessinée, sans la redessiner. Retirer le remplissage et le contour à la fois est refusé, cela ne laisserait rien à voir.",none,True,51.4
canvas,layer.setAdjustmentAmount,layer_setAdjustmentAmount,Régler un calque de correction,"Déplace le cadran que porte un calque de correction — exposition, contraste, saturation ou température. Nommer un autre cadran que le sien est refusé plutôt qu’ignoré en silence.",none,True,51.5
canvas,canvas.flipOrRotate,canvas_flipOrRotate,Retourner ou pivoter l’image,"Reflète l’image selon un axe, ou la fait pivoter d’un quart de tour dans un sens ou dans l’autre. Un quart de tour échange la largeur et la hauteur du cadre, donc un portrait devient un paysage.",none,True,51.8
canvas,layer.setMaskOptions,layer_setMaskOptions,Régler le masque d’un calque,"Dit si un MASQUE — une forme creusée dans une sélection, qu’un calque porte — cache ce qu’il couvre et s’il suit le calque, ou le retire tout à fait. Cacher le calque LUI-MÊME, c’est layer.setOpacityBlendAndVisibility. Un calque qui n’en porte aucun est refusé : creuser un masque appartient au moteur, par la commande qui en fait un depuis la sélection.",none,True,51.6
canvas,guide.add,guide_add,Poser un repère,"Pose un repère vertical ou horizontal à l’endroit donné, en coordonnées du document, et répond l’identifiant qu’il vient de recevoir. Les deux actions voisines le déplacent et le retirent par cet identifiant.",none,True,51.9
canvas,guide.move,guide_move,Déplacer un repère,"Change la place d’un repère, en coordonnées du document, comme le ferait un glissé depuis la règle. Un identifiant que rien ne porte est refusé.",none,True,51.10
canvas,guide.remove,guide_remove,Retirer un repère,"Enlève un repère de l’image, comme le fait un glissé qui le ramène sur sa règle. Retirer tous les repères d’un coup est une commande du registre, à lancer autrement.",none,True,51.11
canvas,img.pin,img_pin,Gérer les commentaires de génération sur l’image,"Ajoute, modifie ou retire une instruction pour la prochaine génération sur l’image devant. Les coordonnées et le polygone facultatif sont en pixels du document. Un identifiant de calque limite une nouvelle note à ce calque ; sans lui, elle porte sur l’image entière. canvas.state rend les commentaires en attente et leurs identifiants.",none,True,"70.1,70.2,70.3,70.4"
montage,sequence.state,sequence_state,Lire le montage en cours d’édition,"Répond le montage en avant — ses réglages, sa durée, la tête de lecture et ce qui est sélectionné — puis chaque piste avec ses clips, leurs bornes, leur entrée dans la source, leur vitesse, leurs fondus et leur niveau. Un champ À SON DÉFAUT est omis, et son absence signifie ce défaut : une piste s’entend et n’est pas verrouillée, un clip va à la vitesse 1 depuis son début, sans fondu et au niveau enregistré.",none,True,1.8
montage,sequence.seek,sequence_seek,Placer la tête de lecture,"Déplace la tête de lecture du montage devant à l’instant donné, en microsecondes. Ce n’est pas une modification, donc rien n’entre dans l’historique et l’annulation ne la ramène pas.",none,True,40.1
montage,clip.add,clip_add,Poser un bloc sur le montage,"Pose un asset de la bibliothèque sur une piste du montage devant, à l’instant donné ou sous la tête de lecture. Ouvre les pistes qui manquent, et lie l’image à son son quand la prise en porte un.",none,True,"15.1,15.2,15.5,16.1,17.1,23.1,24.1,32.1,33.1"
montage,clip.remove,clip_remove,Retirer un bloc du montage,"Enlève un bloc de sa piste, et avec lui la moitié qui lui est liée. La place qu’il occupait reste vide plutôt que de se refermer sur ses voisins.",none,True,40.3
montage,clip.move,clip_move,Déplacer un bloc,"Porte un bloc sur une piste et à un instant donnés, en recouvrant ce qui se trouve là. Une piste verrouillée ou d’une autre nature n’accepte rien.",none,True,"15.4,17.2"
montage,clip.trim,clip_trim,Rogner un bord de bloc,"Tire le point d’entrée ou de sortie d’un clip jusqu’à l’instant donné, jamais au-delà de la source derrière lui. Une image fixe n’a pas de source à dépasser et s’étire librement. « at » est un instant sur la TIMELINE, jamais une durée : pour rallonger un clip de deux secondes, lire son « end » et envoyer cette valeur plus 2000000.",none,True,"15.3,16.5,24.6"
montage,clip.split,clip_split,Couper un bloc en deux,"Coupe un bloc à l’instant donné et laisse les deux moitiés bout à bout. Un instant hors du bloc n’a rien à couper, et se voit refusé plutôt que rapporté comme fait.",none,True,40.2
montage,clip.fade,clip_fade,Régler un fondu de bloc,"Donne au fondu d’entrée ou de sortie d’un BLOC DE MONTAGE la longueur demandée — il faut donc un montage vidéo ou audio ouvert devant. Deux rampes plus longues que le bloc lui-même sont ramenées à ce qu’il peut porter. Pour un fondu dans la cinématique d’une scène 3D, c’est timeline.addSceneCue.",none,True,"16.3,16.4,17.5"
montage,clip.gain,clip_gain,Régler le niveau d’un bloc,"Change le niveau d’un bloc en décibels, zéro laissant la prise telle qu’elle a été enregistrée. La valeur est bornée à ce que la lecture sait tenir.",none,True,"16.2,17.3,17.4,24.7,28.3"
montage,clip.speed,clip_speed,Régler la vitesse d’un bloc,"Change la vitesse de lecture d’un bloc, un pour la vitesse d’origine. La durée sur le montage suit, la source lue restant la même.",none,True,15.6
montage,clip.unlink,clip_unlink,Détacher l’image de son son,"Sépare les deux moitiés d’une prise, de sorte que déplacer, rogner ou couper l’une n’atteigne plus l’autre. Rien ne les relie de nouveau ensuite.",none,True,52.1
montage,clip.select,clip_select,Désigner un bloc,"Désigne le bloc sur lequel l’inspecteur et les gestes sans cible vont porter. Ce n’est pas une modification, et l’annulation ne la reprend pas.",none,False,40.4
montage,track.add,track_add,Ajouter une piste,"Ouvre une piste image ou son sous les autres. Une piste image ne peut rien porter d’un son, et l’inverse est vrai aussi.",none,True,"16.1,17.1,32.1"
montage,track.remove,track_remove,Retirer une piste,"Enlève une piste du montage, et tous les blocs qu’elle portait avec elle. Une piste verrouillée n’est pas retirée.",none,True,40.7
montage,track.reorderTracks,track_reorderTracks,Changer l’ordre des pistes,"Déplace une piste du nombre de rangs donné, ce qui change ce qui recouvre quoi. Les rangs se comptent depuis le HAUT, donc un nombre négatif la monte et un positif la descend — sequence.state les répond dans cet ordre, la première étant la plus haute.",none,True,52.2
montage,track.rename,track_rename,Renommer une piste,"Donne son nom à une piste, celui que porte la colonne des en-têtes. L’identifiant, lui, ne change jamais.",none,True,40.5
